time,seconds_elapsed,z,y,x
1761131531112549400,0.12554931640625,-0.5836877822875977,-0.7468147277832031,1.9892529249191284
1761131531132549400,0.14554931640625,-0.5534353256225586,-0.83349609375,1.9792912006378174
1761131531142549200,0.15554931640625,-0.5379133224487305,-0.8773279190063477,1.9790016412734985
1761131531152549400,0.16554931640625,-0.5221071243286133,-0.9214203357696533,1.9804365634918213
1761131531162549200,0.17554931640625,-0.5056629180908203,-0.9618570804595947,1.9228860139846802
1761131531172549400,0.18554931640625,-0.4878664016723633,-1.0042736530303955,1.8641301393508911
1761131531182549500,0.195549560546875,-0.46831512451171875,-1.049691915512085,1.8050763607025146
1761131531192549600,0.205549560546875,-0.4473447799682617,-1.0969791412353516,1.7450381517410278
1761131531202549500,0.215549560546875,-0.4256305694580078,-1.1436824798583984,1.6802339553833008
1761131531212549600,0.225549560546875,-0.40430355072021484,-1.1865105628967285,1.6095209121704102
1761131531222549500,0.235549560546875,-0.38449954986572266,-1.2235004901885986,1.538630485534668
1761131531232549600,0.245549560546875,-0.36725711822509766,-1.2530670166015625,1.4713538885116577
1761131531242549500,0.255549560546875,-0.3532838821411133,-1.2729039192199707,1.403277039527893
1761131531252549600,0.265549560546875,-0.3424348831176758,-1.2826311588287354,1.3307194709777832
1761131531262547700,0.275547607421875,-0.3339862823486328,-1.2836570739746094,1.2529311180114746
1761131531272547800,0.2855478515625,-0.3265419006347656,-1.2789652347564697,1.1694735288619995
1761131531282547700,0.295547607421875,-0.31847095489501953,-1.2716343402862549,1.0787248611450195
1761131531292547800,0.3055478515625,-0.30744075775146484,-1.2643508911132812,0.9733923673629761
1761131531302547700,0.315547607421875,-0.29116249084472656,-1.2613575458526611,0.8532888889312744
1761131531312547800,0.3255478515625,-0.26894474029541016,-1.268660545349121,0.7327269315719604
1761131531322547700,0.335547607421875,-0.24175357818603516,-1.2919278144836426,0.6306865215301514
1761131531332547800,0.3455478515625,2.5260887145996094,-1.6197149753570557,-2.281909942626953
1761131531342547700,0.355547607421875,1.9463653564453125,-1.5869390964508057,-2.62506103515625
1761131531352547800,0.3655478515625,1.4197330474853516,-1.6076381206512451,-2.816967487335205
1761131531362547700,0.375547607421875,1.0181636810302734,-1.6980869770050049,-2.748753309249878
1761131531372547800,0.3855478515625,0.685053825378418,-1.7212529182434082,-2.606421709060669
1761131531382547700,0.395547607421875,0.43472957611083984,-1.6298580169677734,-2.363469362258911
1761131531392547800,0.4055478515625,0.34597301483154297,-1.401660442352295,-2.0542831420898438
1761131531402547700,0.415547607421875,0.4861936569213867,-1.185096025466919,-1.5515389442443848
1761131531412547800,0.4255478515625,0.511871337890625,-1.222534418106079,-1.5862113237380981
1761131531422547700,0.435547607421875,0.830134391784668,-1.1145155429840088,-1.0931282043457031
