time,seconds_elapsed,z,y,x
1761132635273700400,0.079700439453125,-0.9311637878417969,1.0953316688537598,1.1109716892242432
1761132635293702400,0.099702392578125,-0.9371738433837891,1.1261003017425537,1.1723389625549316
1761132635303702300,0.109702392578125,-0.9401044845581055,1.1422648429870605,1.2048022747039795
1761132635313702400,0.119702392578125,-0.9429779052734375,1.1589627265930176,1.238374948501587
1761132635323702300,0.129702392578125,-0.9441938400268555,1.1706573963165283,1.2691726684570312
1761132635333702400,0.139702392578125,-0.9459457397460938,1.1829426288604736,1.2955331802368164
1761132635343702500,0.14970263671875,-0.9478864669799805,1.1953768730163574,1.3196569681167603
1761132635353702700,0.15970263671875,-0.9493503570556641,1.206690788269043,1.3438193798065186
1761132635363702500,0.16970263671875,-0.9497871398925781,1.215526819229126,1.368759274482727
1761132635373699800,0.179699951171875,-0.9495649337768555,1.2217040061950684,1.390587568283081
1761132635383699700,0.18969970703125,-0.9487085342407227,1.2247662544250488,1.407901406288147
1761132635393699800,0.199699951171875,-0.9467735290527344,1.2236440181732178,1.4215900897979736
1761132635403699700,0.20969970703125,-0.9436006546020508,1.2182796001434326,1.4329712390899658
1761132635413699800,0.219699951171875,-0.9393911361694336,1.2095317840576172,1.442927360534668
1761132635423699700,0.22969970703125,-0.9343795776367188,1.1984422206878662,1.4524993896484375
1761132635433699800,0.239699951171875,-0.9286661148071289,1.1851441860198975,1.4612038135528564
1761132635443699700,0.24969970703125,-0.9224529266357422,1.1700303554534912,1.4684138298034668
1761132635453699800,0.259699951171875,-0.9161205291748047,1.1541812419891357,1.4741414785385132
1761132635463699700,0.26969970703125,-0.9098186492919922,1.1381523609161377,1.4787766933441162
1761132635473699800,0.279699951171875,-0.901982307434082,1.1196584701538086,1.4884463548660278
1761132635483699700,0.28969970703125,-0.8928899765014648,1.098874568939209,1.5011019706726074
1761132635493699300,0.29969921875,-0.8833808898925781,1.0760717391967773,1.5105565786361694
1761132635503699500,0.309699462890625,-0.8746089935302734,1.0511884689331055,1.5072919130325317
1761132635513699300,0.31969921875,0.14017009735107422,-0.3909792900085449,-1.0641950368881226
1761132635523699500,0.329699462890625,0.1741495132446289,-0.43106722831726074,-0.9464986324310303
1761132635533699300,0.33969921875,0.1438140869140625,-0.46967530250549316,-0.8132718801498413
1761132635543699500,0.349699462890625,0.049559593200683594,-0.49184226989746094,-0.6737862825393677
1761132635553699300,0.35969921875,-0.018456459045410156,-0.4915037155151367,-0.585781455039978
1761132635563699500,0.369699462890625,-0.05607128143310547,-0.4826343059539795,-0.5260388851165771
1761132635573698600,0.379698486328125,-0.05643749237060547,-0.4685511589050293,-0.48338258266448975
1761132635583698400,0.389698486328125,-0.09546279907226562,-0.4871227741241455,-0.391119122505188
1761132635593698600,0.399698486328125,-0.20241451263427734,-0.48229336738586426,-0.3039003610610962
1761132635603698400,0.409698486328125,-0.3343620300292969,-0.44038963317871094,-0.2568286657333374
1761132635613698600,0.419698486328125,-0.5301504135131836,-0.39229631423950195,-0.22174906730651855
1761132635623698400,0.429698486328125,-0.7308387756347656,-0.33463501930236816,-0.21505045890808105
1761132635633698600,0.439698486328125,-0.9134292602539062,-0.2838728427886963,-0.22560203075408936
1761132635643698400,0.449698486328125,-1.0638175010681152,-0.2526416778564453,-0.24204766750335693
1761132635653698600,0.459698486328125,-1.1801934242248535,-0.20268964767456055,-0.2787574529647827
1761132635663698400,0.469698486328125,-1.2462053298950195,-0.15131878852844238,-0.34086525440216064
1761132635673699300,0.47969921875,-1.3134984970092773,-0.10673689842224121,-0.4064610004425049
1761132635683699200,0.48969921875,-1.3836941719055176,-0.05479788780212402,-0.48563170433044434
1761132635693699300,0.49969921875,-1.471388339996338,0.00713348388671875,-0.572425127029419
1761132635703699200,0.50969921875,-1.5732355117797852,0.07233595848083496,-0.6570576429367065
1761132635713699300,0.51969921875,-1.650965690612793,0.13253998756408691,-0.7470366954803467
1761132635723699200,0.52969921875,-1.6672415733337402,0.19985175132751465,-0.846227765083313
1761132635733699300,0.53969921875,-1.6228022575378418,0.2469615936279297,-0.9490375518798828
1761132635743699200,0.54969921875,-1.5174617767333984,0.26914262771606445,-1.0469350814819336
1761132635753699300,0.55969921875,-1.3626132011413574,0.2726871967315674,-1.143594741821289
1761132635763699200,0.56969921875,-1.200244426727295,0.27239561080932617,-1.2105368375778198
1761132635773698600,0.579698486328125,-1.0296688079833984,0.2791099548339844,-1.2554728984832764
1761132635783698400,0.589698486328125,-0.8387813568115234,0.29285383224487305,-1.2914009094238281
1761132635793698800,0.59969873046875,-0.8599300384521484,0.34050607681274414,-1.315005898475647
1761132635803698700,0.60969873046875,-0.3888816833496094,0.2847435474395752,-1.4011585712432861
1761132635813698800,0.61969873046875,-0.10988998413085938,0.2414708137512207,-1.5058659315109253
1761132635823698700,0.62969873046875,0.20309925079345703,0.17461276054382324,-1.6317272186279297
1761132635833698800,0.63969873046875,0.5423030853271484,0.10852551460266113,-1.7476863861083984
1761132635843698700,0.64969873046875,0.8616943359375,0.050262451171875,-1.8301787376403809
1761132635853698800,0.65969873046875,1.1099309921264648,-0.004478931427001953,-1.8853449821472168
1761132635863698700,0.66969873046875,1.2677059173583984,-0.042745113372802734,-1.9229164123535156
1761132635873699600,0.679699462890625,1.334681510925293,-0.06926631927490234,-1.965453863143921
1761132635883699700,0.68969970703125,1.3196954727172852,-0.09927868843078613,-2.015516996383667
1761132635893699600,0.699699462890625,1.2409954071044922,-0.13283276557922363,-2.034299850463867
