time,seconds_elapsed,z,y,x
1761131588875095600,0.151095458984375,7.080033302307129,-2.949937343597412,-0.59943687915802
1761131588905095200,0.18109521484375,7.147618293762207,-3.06337833404541,-0.601253867149353
1761131588915095600,0.191095458984375,7.1683244705200195,-3.0992298126220703,-0.596697211265564
1761131588925095400,0.201095458984375,7.137298583984375,-3.062662124633789,-0.5540796518325806
1761131588935095800,0.211095703125,7.108121871948242,-3.036755084991455,-0.4864264726638794
1761131588945096200,0.22109619140625,7.085923194885254,-3.0239109992980957,-0.4109383821487427
1761131588955096300,0.231096435546875,7.073383331298828,-3.0254831314086914,-0.3375821113586426
1761131588965096400,0.241096435546875,7.072214126586914,-3.0413622856140137,-0.27729129791259766
1761131588975096300,0.251096435546875,7.082210540771484,-3.06931734085083,-0.23805439472198486
1761131588985096400,0.261096435546875,7.102362632751465,-3.1064743995666504,-0.22506844997406006
1761131588995096600,0.2710966796875,7.1301069259643555,-3.149256706237793,-0.23565459251403809
1761131589005096400,0.281096435546875,7.162421226501465,-3.193769931793213,-0.2647744417190552
1761131589015096300,0.291096435546875,7.196963310241699,-3.2377452850341797,-0.3056989908218384
1761131589025096400,0.301096435546875,7.231508255004883,-3.2797579765319824,-0.35023415088653564
1761131589035096300,0.311096435546875,7.264120101928711,-3.3187379837036133,-0.3916640281677246
1761131589045096400,0.321096435546875,7.294098854064941,-3.3547091484069824,-0.42687153816223145
1761131589055095000,0.331094970703125,7.321747779846191,-3.3883776664733887,-0.4558424949645996
1761131589065094700,0.3410947265625,7.34718132019043,-3.419450283050537,-0.4806828498840332
1761131589075094500,0.351094482421875,7.369482040405273,-3.445875644683838,-0.504014253616333
1761131589085094700,0.3610947265625,7.38669490814209,-3.463890552520752,-0.5289162397384644
1761131589095094500,0.371094482421875,7.395890235900879,-3.4676012992858887,-0.5605589151382446
1761131589105094700,0.3810947265625,3.149947166442871,-0.4145660400390625,-3.070430278778076
1761131589115094800,0.3910947265625,4.238709449768066,-0.8919501304626465,-2.898270606994629
1761131589125094700,0.4010947265625,4.993326187133789,-1.2683072090148926,-2.8277060985565186
1761131589135094800,0.4110947265625,5.269510269165039,-1.5000970363616943,-2.8428101539611816
1761131589145094400,0.421094482421875,4.9788665771484375,-1.5626766681671143,-2.843714714050293
1761131589155094500,0.431094482421875,4.097084999084473,-1.3974933624267578,-2.8351168632507324
1761131589165094400,0.441094482421875,3.101151466369629,-1.1842355728149414,-2.8005993366241455
1761131589175094500,0.451094482421875,2.1176767349243164,-1.09808349609375,-2.794808864593506
1761131589185094400,0.461094482421875,1.4027442932128906,-1.079667091369629,-2.7771501541137695
1761131589195093800,0.47109375,1.024775505065918,-1.246699333190918,-2.794578790664673
1761131589205094000,0.481093994140625,0.8319249153137207,-1.629957914352417,-2.7341182231903076
1761131589215094000,0.491093994140625,0.8133955001831055,-2.0713343620300293,-2.5587949752807617
1761131589225094000,0.501093994140625,0.7740316390991211,-2.321336030960083,-2.4041802883148193
1761131589235093800,0.51109375,0.6107549667358398,-2.365385055541992,-2.2406370639801025
1761131589245094000,0.521093994140625,0.27535057067871094,-2.364952325820923,-2.115396738052368
1761131589255093000,0.531093017578125,-0.15041875839233398,-2.380869150161743,-2.0804927349090576
1761131589265093000,0.541093017578125,-0.6864666938781738,-2.397381544113159,-2.061005115509033
1761131589275093000,0.551093017578125,-1.2121505737304688,-2.47225284576416,-2.275419235229492
1761131589285093000,0.561093017578125,-1.6481332778930664,-2.447174310684204,-2.488354444503784
1761131589295093000,0.571093017578125,-2.038059711456299,-2.485341787338257,-2.5974905490875244
1761131589305093000,0.581093017578125,-2.3483242988586426,-2.545372247695923,-2.6689133644104004
1761131589315093200,0.59109326171875,-2.563443660736084,-2.613278388977051,-2.6457343101501465
1761131589325093000,0.601093017578125,-2.727421283721924,-2.706862449645996,-2.458765745162964
1761131589335093200,0.61109326171875,-2.9134135246276855,-2.7101798057556152,-2.3823397159576416
1761131589345093000,0.621093017578125,-2.9062414169311523,-2.636836290359497,-2.436784505844116
1761131589355094000,0.631093994140625,-2.8244476318359375,-2.6323649883270264,-2.474119186401367
1761131589365094100,0.64109423828125,-2.6897459030151367,-2.705472230911255,-2.4834847450256348
1761131589375094300,0.65109423828125,-2.4308853149414062,-2.7498977184295654,-2.4465878009796143
1761131589385094400,0.661094482421875,-2.11683988571167,-2.8587300777435303,-2.3269405364990234
1761131589395094300,0.67109423828125,-1.8258028030395508,-2.9191808700561523,-2.203371286392212
1761131589405094400,0.681094482421875,-1.5621442794799805,-3.0102200508117676,-2.1397862434387207
1761131589415094300,0.69109423828125,-1.252976894378662,-2.9778404235839844,-2.219754934310913
1761131589425094400,0.701094482421875,-0.8087105751037598,-2.8762195110321045,-2.306710958480835
1761131589435094300,0.71109423828125,-0.36646366119384766,-2.8362619876861572,-2.2425811290740967
1761131589445094700,0.7210947265625,0.14144134521484375,-2.7239768505096436,-2.163540840148926
1761131589455093800,0.73109375,0.8231854438781738,-2.532400131225586,-2.0463857650756836
1761131589465094000,0.741093994140625,0.8037853240966797,-2.5023584365844727,-2.0614778995513916
1761131589475093800,0.75109375,1.5719575881958008,-2.1338069438934326,-1.8437435626983643
1761131589485094000,0.761093994140625,1.620898723602295,-1.893721103668213,-1.9207829236984253
1761131589495094500,0.771094482421875,1.616276741027832,-1.6507139205932617,-2.186638832092285
1761131589505094400,0.781094482421875,1.8414340019226074,-1.4050145149230957,-2.538558006286621
1761131589515094300,0.79109423828125,2.1725964546203613,-1.3090415000915527,-2.7802321910858154
1761131589525094400,0.801094482421875,2.137190341949463,-1.2576375007629395,-2.789196014404297
1761131589535094300,0.81109423828125,2.7322726249694824,-1.254371166229248,-3.044213056564331
1761131589545094400,0.821094482421875,2.927298069000244,-1.0375394821166992,-3.13335919380188
1761131589555095300,0.83109521484375,3.1003613471984863,-0.7450804710388184,-3.0701730251312256
1761131589565095200,0.84109521484375,3.359567165374756,-0.4730687141418457,-2.825538158416748
1761131589575095000,0.851094970703125,3.6022605895996094,-0.22321367263793945,-2.708784580230713
1761131589585095200,0.86109521484375,3.8560304641723633,0.032989501953125,-2.671433925628662
1761131589595094300,0.87109423828125,4.111819267272949,0.27513790130615234,-2.712561845779419
1761131589605093400,0.88109326171875,4.4187116622924805,0.4717874526977539,-2.740142345428467
1761131589615092500,0.891092529296875,4.873781204223633,0.6134829521179199,-2.7710161209106445
1761131589625091600,0.901091552734375,5.477285385131836,0.5812931060791016,-2.6207869052886963
1761131589635090700,0.911090576171875,6.033231735229492,0.5076351165771484,-2.5069844722747803
1761131589645089800,0.92108984375,6.531757354736328,0.4934577941894531,-2.4264166355133057
1761131589655089200,0.931089111328125,6.894800186157227,0.47018957138061523,-2.352809429168701
1761131589665088300,0.941088134765625,6.936552047729492,0.4220890998840332,-2.270538568496704
1761131589675087400,0.95108740234375,6.757601737976074,0.4744391441345215,-2.1389172077178955
1761131589685086500,0.96108642578125,6.261082649230957,0.5085716247558594,-1.972769021987915
1761131589695085600,0.97108544921875,5.861677169799805,0.5215725898742676,-1.8636767864227295
1761131589705085400,0.98108544921875,5.667263984680176,0.35384082794189453,-1.7388668060302734
1761131589715085600,0.99108544921875,5.721592903137207,-0.07505655288696289,-1.6181200742721558
1761131589725085400,1.00108544921875,5.834291458129883,-0.5702700614929199,-1.3276163339614868
1761131589735085600,1.01108544921875,5.665879249572754,-1.155184268951416,-0.9925196170806885
1761131589745085400,1.02108544921875,5.205847263336182,-1.6302251815795898,-0.7601747512817383
1761131589755086300,1.03108642578125,4.452646255493164,-1.9290344715118408,-0.686439037322998
1761131589765086200,1.041086181640625,3.495828151702881,-2.1344826221466064,-0.6721410751342773
1761131589775086300,1.05108642578125,2.5051393508911133,-2.2091214656829834,-0.6679353713989258
1761131589785086500,1.06108642578125,1.5847721099853516,-2.2305891513824463,-0.7651543617248535
1761131589795086300,1.07108642578125,0.7484040260314941,-2.3231961727142334,-0.9665912389755249
1761131589805086200,1.081086181640625,0.20262861251831055,-2.51828932762146,-1.1383938789367676
1761131589815086300,1.09108642578125,-0.15645122528076172,-2.774507999420166,-1.3286163806915283
1761131589825086500,1.10108642578125,-0.3667759895324707,-3.0310590267181396,-1.5514819622039795
1761131589835086300,1.11108642578125,-0.5747942924499512,-3.3122973442077637,-1.6754318475723267
1761131589845086500,1.12108642578125,-0.8792209625244141,-3.575098991394043,-1.8149731159210205
1761131589855085600,1.13108544921875,-1.2818927764892578,-3.7493607997894287,-1.9612042903900146
1761131589865085400,1.14108544921875,-1.6533761024475098,-3.806945562362671,-2.138428211212158
1761131589875085600,1.15108544921875,-1.9158244132995605,-3.908435106277466,-2.4224131107330322
1761131589885085400,1.16108544921875,-2.0436487197875977,-3.799715042114258,-2.4797840118408203
1761131589895086300,1.17108642578125,-2.162431240081787,-3.7646284103393555,-2.3984739780426025
1761131589905087200,1.181087158203125,-2.1844539642333984,-3.739816665649414,-2.345189094543457
1761131589915088100,1.191088134765625,-2.1730265617370605,-3.6192896366119385,-2.3466649055480957
1761131589928089900,1.20408984375,-2.130920886993408,-3.3954873085021973,-2.309398889541626
1761131589938090800,1.2140908203125,-2.220494270324707,-3.33156418800354,-2.1539297103881836
1761131589948091600,1.224091552734375,-2.4138598442077637,-3.28879714012146,-2.1089797019958496
1761131589958092500,1.234092529296875,-2.57784366607666,-3.244650363922119,-2.215303659439087
1761131589968093400,1.244093505859375,-2.5542006492614746,-3.0671730041503906,-2.3838038444519043
1761131589978094000,1.254093994140625,-2.1449670791625977,-2.9200966358184814,-2.6273674964904785
1761131589988095000,1.264094970703125,-1.5855870246887207,-2.8009157180786133,-2.705233573913574
1761131589998096000,1.274095947265625,-0.9426946640014648,-2.683438301086426,-2.6299469470977783
1761131590008096000,1.284095947265625,-0.37065792083740234,-2.505265235900879,-2.6080403327941895
1761131590018095900,1.294095947265625,0.08855724334716797,-2.265324115753174,-2.6820411682128906
1761131590028096000,1.304095947265625,0.3464541435241699,-2.0552453994750977,-2.759533166885376
1761131590038096100,1.31409619140625,0.43474864959716797,-1.8595027923583984,-2.910804510116577
1761131590048096000,1.324095947265625,0.40732908248901367,-1.6468520164489746,-2.9870376586914062
1761131590058095000,1.33409521484375,0.3334822654724121,-1.520219326019287,-3.2096590995788574
1761131590068095200,1.34409521484375,0.3563828468322754,-1.526033878326416,-3.2430219650268555
1761131590078095000,1.35409521484375,0.5863432884216309,-1.1812963485717773,-3.869839668273926
1761131590088095200,1.36409521484375,0.6606760025024414,-1.089796543121338,-4.124953269958496
1761131590098095000,1.37409521484375,0.7210755348205566,-0.8745031356811523,-4.299070835113525
1761131590108095200,1.38409521484375,0.9552807807922363,-0.4343714714050293,-4.289288520812988
1761131590118095000,1.39409521484375,1.207289218902588,-0.17886829376220703,-3.9218177795410156
1761131590128095000,1.404094970703125,1.636559009552002,-0.033525943756103516,-3.4384310245513916
1761131590138095000,1.41409521484375,2.1724624633789062,0.10545015335083008,-3.072096824645996
1761131590148095200,1.42409521484375,2.744028091430664,0.18343400955200195,-2.9710500240325928
1761131590158096000,1.434095947265625,3.13358736038208,0.1453566551208496,-3.2079391479492188
1761131590168096000,1.444095947265625,3.4445323944091797,0.11876678466796875,-3.5705149173736572
1761131590178095900,1.454095947265625,3.661437511444092,0.19021081924438477,-3.829772472381592
1761131590188096000,1.464095947265625,3.933859348297119,0.4115147590637207,-3.877758026123047
1761131590198096100,1.47409619140625,4.270147323608398,0.6036968231201172,-3.9231369495391846
1761131590208096000,1.484095947265625,4.6116461753845215,0.6074113845825195,-3.9495127201080322
1761131590218095000,1.49409521484375,4.905588626861572,0.47080087661743164,-4.024333953857422
1761131590228095200,1.50409521484375,5.171323299407959,0.13220787048339844,-4.093286037445068
1761131590238095000,1.51409521484375,5.355440139770508,-0.23314952850341797,-4.198559284210205
1761131590248095200,1.52409521484375,5.34191370010376,-0.4990048408508301,-4.412201404571533
1761131590258095000,1.53409521484375,5.043634414672852,-0.6297297477722168,-4.757961750030518
1761131590268095200,1.54409521484375,4.566498279571533,-0.5620121955871582,-4.992098331451416
1761131590278095400,1.554095458984375,3.966442108154297,-0.3906130790710449,-4.946524620056152
1761131590288095200,1.56409521484375,3.348867416381836,-0.21934175491333008,-4.630485534667969
1761131590298095000,1.57409521484375,2.8429441452026367,0.03564262390136719,-4.349445343017578
1761131590308095200,1.58409521484375,2.7804760932922363,0.3858780860900879,-4.353999137878418
1761131590318095400,1.594095458984375,3.3466148376464844,0.5179176330566406,-4.482909679412842
1761131590328095200,1.60409521484375,4.396037578582764,0.31643104553222656,-4.543115139007568
1761131590338095000,1.61409521484375,5.357480049133301,-0.17386722564697266,-4.417322158813477
1761131590348095200,1.62409521484375,5.939793109893799,-0.8802275657653809,-4.197763442993164
1761131590358096100,1.63409619140625,6.279569625854492,-1.405156135559082,-4.004368305206299
1761131590368096000,1.644095947265625,6.315145015716553,-1.7669963836669922,-3.803678512573242
1761131590378096000,1.65409619140625,5.7750630378723145,-2.152188777923584,-3.569807767868042
1761131590388096000,1.664095947265625,4.857046604156494,-2.3674638271331787,-3.3451147079467773
1761131590398096100,1.67409619140625,3.7731823921203613,-2.3275811672210693,-3.1413488388061523
1761131590408096000,1.684095947265625,2.662318706512451,-2.1553778648376465,-2.996032953262329
1761131590418096000,1.69409619140625,1.7669854164123535,-1.9761638641357422,-2.8437423706054688
1761131590428096000,1.704095947265625,1.1377902030944824,-1.8657894134521484,-2.907468318939209
1761131590438096100,1.71409619140625,0.6596641540527344,-2.0385708808898926,-3.0589120388031006
1761131590448096000,1.724095947265625,0.28992557525634766,-2.307544231414795,-3.258134126663208
1761131590458095000,1.73409521484375,-0.11090803146362305,-2.4449405670166016,-3.4716906547546387
1761131590468095200,1.74409521484375,-0.4936866760253906,-2.4368205070495605,-3.6800272464752197
1761131590478095000,1.75409521484375,-0.8252015113830566,-2.3338446617126465,-3.9458441734313965
1761131590488095200,1.76409521484375,-0.9897794723510742,-2.157648801803589,-4.264477729797363
1761131590498095000,1.77409521484375,-1.085179328918457,-2.0936243534088135,-4.474037170410156
1761131590508095200,1.78409521484375,-1.1553683280944824,-2.0603792667388916,-4.475435733795166
1761131590518096000,1.794095947265625,-1.235722541809082,-1.9160959720611572,-4.410974979400635
1761131590528096000,1.804095947265625,-1.2472648620605469,-1.5977704524993896,-4.427183151245117
1761131590538095900,1.814095947265625,-1.2798733711242676,-1.3100905418395996,-4.427593231201172
1761131590548096000,1.824095947265625,-1.1651291847229004,-1.0210306644439697,-4.48268461227417
1761131590558096100,1.83409619140625,-0.8356127738952637,-0.7335031032562256,-4.534799098968506
1761131590568096000,1.844095947265625,-0.26331186294555664,-0.4772677421569824,-4.384265899658203
1761131590578096000,1.85409619140625,0.38196611404418945,-0.34407806396484375,-4.188580513000488
1761131590588096000,1.864095947265625,0.9934883117675781,-0.3109722137451172,-4.094720363616943
1761131590598095000,1.87409521484375,1.449620246887207,-0.31317663192749023,-3.9418747425079346
1761131590608094200,1.88409423828125,1.7922091484069824,-0.20392084121704102,-3.7169365882873535
1761131590618093300,1.89409326171875,2.1209115982055664,0.11491513252258301,-3.372751235961914
1761131590628092400,1.904092529296875,2.247191905975342,0.5343465805053711,-3.0559122562408447
1761131590638091800,1.914091796875,2.2118663787841797,0.8122701644897461,-2.744861364364624
1761131590648090600,1.924090576171875,2.1128883361816406,0.957465648651123,-2.4738473892211914
1761131590658090000,1.934090087890625,2.0544357299804688,1.1219303607940674,-2.459390163421631
1761131590668089000,1.944089111328125,2.0892271995544434,1.2722830772399902,-2.5565080642700195
1761131590678088200,1.954088134765625,2.099355697631836,1.4059224128723145,-2.6890830993652344
1761131590688087300,1.96408740234375,2.030268669128418,1.5097734928131104,-2.7411088943481445
1761131590698086400,1.97408642578125,1.886655330657959,1.6336698532104492,-2.7413668632507324
1761131590708085500,1.98408544921875,1.8092799186706543,1.8041877746582031,-2.8569109439849854
1761131590718084600,1.994084716796875,1.9209070205688477,2.0001235008239746,-3.124581813812256
1761131590728083700,2.004083740234375,2.3633456230163574,2.1321933269500732,-3.5122997760772705
1761131590738083000,2.0140830078125,2.920588493347168,2.1400437355041504,-3.749999523162842
1761131590748083200,2.024083251953125,3.4504947662353516,1.951716423034668,-3.7892541885375977
1761131590758083300,2.034083251953125,3.8497567176818848,1.712087869644165,-3.784862518310547
1761131590768083500,2.04408349609375,4.101091384887695,1.5106525421142578,-3.782665252685547
1761131590778083300,2.054083251953125,4.1777143478393555,1.2633616924285889,-3.6684820652008057
1761131590788082700,2.064082763671875,4.182747840881348,1.3478543758392334,-3.7085201740264893
1761131590798082800,2.074082763671875,3.6902575492858887,0.852414608001709,-3.3116180896759033
1761131590808082700,2.084082763671875,3.1922478675842285,0.7589821815490723,-3.2062199115753174
1761131590818082800,2.094082763671875,2.4939050674438477,0.799788236618042,-3.071019172668457
1761131590828083000,2.1040830078125,1.6888227462768555,0.9635722637176514,-2.9244062900543213
1761131590838082800,2.114082763671875,0.9137225151062012,1.2461647987365723,-2.7830536365509033
